LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Unnamed: 5,Labor Force,Employed,Unemployed,Unemployment Rate (%)
CN3008100000000,30.0,81.0,"Ravalli County, MT",2020.0,,20904,19710,1194,5.7
CN3008300000000,30.0,83.0,"Richland County, MT",2020.0,,5986,5603,383,6.4
CN3008500000000,30.0,85.0,"Roosevelt County, MT",2020.0,,4462,4197,265,5.9
CN3008700000000,30.0,87.0,"Rosebud County, MT",2020.0,,3752,3542,210,5.6
CN3008900000000,30.0,89.0,"Sanders County, MT",2020.0,,5103,4710,393,7.7
CN3009100000000,30.0,91.0,"Sheridan County, MT",2020.0,,1769,1684,85,4.8
CN3009300000000,30.0,93.0,"Silver Bow County, MT",2020.0,,17419,16280,1139,6.5
CN3009500000000,30.0,95.0,"Stillwater County, MT",2020.0,,5389,5119,270,5
CN3009700000000,30.0,97.0,"Sweet Grass County, MT",2020.0,,1863,1797,66,3.5
CN3009900000000,30.0,99.0,"Teton County, MT",2020.0,,2798,2678,120,4.3
CN3010100000000,30.0,101.0,"Toole County, MT",2020.0,,2156,2051,105,4.9
CN3010300000000,30.0,103.0,"Treasure County, MT",2020.0,,342,330,12,3.5
CN3010500000000,30.0,105.0,"Valley County, MT",2020.0,,4094,3919,175,4.3
CN3010700000000,30.0,107.0,"Wheatland County, MT",2020.0,,765,711,54,7.1
CN3010900000000,30.0,109.0,"Wibaux County, MT",2020.0,,452,429,23,5.1
CN3011100000000,30.0,111.0,"Yellowstone County, MT",2020.0,,83890,79362,4528,5.4
CN3100100000000,31.0,1.0,"Adams County, NE",2020.0,,17038,16351,687,4
CN3100300000000,31.0,3.0,"Antelope County, NE",2020.0,,3932,3844,88,2.2
CN3100500000000,31.0,5.0,"Arthur County, NE",2020.0,,234,222,12,5.1
CN3100700000000,31.0,7.0,"Banner County, NE",2020.0,,393,381,12,3.1
CN3100900000000,31.0,9.0,"Blaine County, NE",2020.0,,255,246,9,3.5
CN3101100000000,31.0,11.0,"Boone County, NE",2020.0,,2953,2879,74,2.5
CN3101300000000,31.0,13.0,"Box Butte County, NE",2020.0,,5409,5151,258,4.8
CN3101500000000,31.0,15.0,"Boyd County, NE",2020.0,,1057,1027,30,2.8
CN3101700000000,31.0,17.0,"Brown County, NE",2020.0,,1421,1382,39,2.7
CN3101900000000,31.0,19.0,"Buffalo County, NE",2020.0,,27871,26747,1124,4
CN3102100000000,31.0,21.0,"Burt County, NE",2020.0,,3596,3456,140,3.9
CN3102300000000,31.0,23.0,"Butler County, NE",2020.0,,4626,4467,159,3.4
CN3102500000000,31.0,25.0,"Cass County, NE",2020.0,,13481,12889,592,4.4
CN3102700000000,31.0,27.0,"Cedar County, NE",2020.0,,4564,4439,125,2.7
CN3102900000000,31.0,29.0,"Chase County, NE",2020.0,,2289,2248,41,1.8
CN3103100000000,31.0,31.0,"Cherry County, NE",2020.0,,3399,3315,84,2.5
CN3103300000000,31.0,33.0,"Cheyenne County, NE",2020.0,,4290,4099,191,4.5
CN3103500000000,31.0,35.0,"Clay County, NE",2020.0,,3303,3195,108,3.3
CN3103700000000,31.0,37.0,"Colfax County, NE",2020.0,,5676,5511,165,2.9
CN3103900000000,31.0,39.0,"Cuming County, NE",2020.0,,4891,4766,125,2.6
CN3104100000000,31.0,41.0,"Custer County, NE",2020.0,,6428,6252,176,2.7
CN3104300000000,31.0,43.0,"Dakota County, NE",2020.0,,10723,10204,519,4.8
CN3104500000000,31.0,45.0,"Dawes County, NE",2020.0,,4986,4846,140,2.8
CN3104700000000,31.0,47.0,"Dawson County, NE",2020.0,,13453,12990,463,3.4
CN3104900000000,31.0,49.0,"Deuel County, NE",2020.0,,966,936,30,3.1
CN3105100000000,31.0,51.0,"Dixon County, NE",2020.0,,2958,2860,98,3.3
CN3105300000000,31.0,53.0,"Dodge County, NE",2020.0,,20310,19593,717,3.5
CN3105500000000,31.0,55.0,"Douglas County, NE",2020.0,,302641,287163,15478,5.1
CN3105700000000,31.0,57.0,"Dundy County, NE",2020.0,,1168,1142,26,2.2
CN3105900000000,31.0,59.0,"Fillmore County, NE",2020.0,,3204,3114,90,2.8
CN3106100000000,31.0,61.0,"Franklin County, NE",2020.0,,1482,1431,51,3.4
CN3106300000000,31.0,63.0,"Frontier County, NE",2020.0,,1556,1511,45,2.9
CN3106500000000,31.0,65.0,"Furnas County, NE",2020.0,,2616,2544,72,2.8
CN3106700000000,31.0,67.0,"Gage County, NE",2020.0,,10977,10534,443,4
CN3106900000000,31.0,69.0,"Garden County, NE",2020.0,,1082,1043,39,3.6
CN3107100000000,31.0,71.0,"Garfield County, NE",2020.0,,1161,1138,23,2
CN3107300000000,31.0,73.0,"Gosper County, NE",2020.0,,1112,1084,28,2.5
CN3107500000000,31.0,75.0,"Grant County, NE",2020.0,,419,411,8,1.9
CN3107700000000,31.0,77.0,"Greeley County, NE",2020.0,,1240,1203,37,3
CN3107900000000,31.0,79.0,"Hall County, NE",2020.0,,32250,30379,1871,5.8
CN3108100000000,31.0,81.0,"Hamilton County, NE",2020.0,,4780,4601,179,3.7
CN3108300000000,31.0,83.0,"Harlan County, NE",2020.0,,1753,1703,50,2.9
CN3108500000000,31.0,85.0,"Hayes County, NE",2020.0,,633,619,14,2.2
CN3108700000000,31.0,87.0,"Hitchcock County, NE",2020.0,,1322,1276,46,3.5
CN3108900000000,31.0,89.0,"Holt County, NE",2020.0,,5770,5627,143,2.5
CN3109100000000,31.0,91.0,"Hooker County, NE",2020.0,,409,398,11,2.7
CN3109300000000,31.0,93.0,"Howard County, NE",2020.0,,3405,3256,149,4.4
CN3109500000000,31.0,95.0,"Jefferson County, NE",2020.0,,4237,4120,117,2.8
CN3109700000000,31.0,97.0,"Johnson County, NE",2020.0,,2078,1996,82,3.9
CN3109900000000,31.0,99.0,"Kearney County, NE",2020.0,,3843,3718,125,3.3
CN3110100000000,31.0,101.0,"Keith County, NE",2020.0,,4668,4518,150,3.2
CN3110300000000,31.0,103.0,"Keya Paha County, NE",2020.0,,585,572,13,2.2
CN3110500000000,31.0,105.0,"Kimball County, NE",2020.0,,1987,1916,71,3.6
CN3110700000000,31.0,107.0,"Knox County, NE",2020.0,,4690,4547,143,3
CN3110900000000,31.0,109.0,"Lancaster County, NE",2020.0,,178492,170896,7596,4.3
CN3111100000000,31.0,111.0,"Lincoln County, NE",2020.0,,18542,17807,735,4
CN3111300000000,31.0,113.0,"Logan County, NE",2020.0,,476,464,12,2.5
CN3111500000000,31.0,115.0,"Loup County, NE",2020.0,,409,396,13,3.2
CN3111700000000,31.0,117.0,"McPherson County, NE",2020.0,,443,432,11,2.5
CN3111900000000,31.0,119.0,"Madison County, NE",2020.0,,19825,19058,767,3.9
CN3112100000000,31.0,121.0,"Merrick County, NE",2020.0,,4084,3922,162,4
CN3112300000000,31.0,123.0,"Morrill County, NE",2020.0,,2640,2545,95,3.6
CN3112500000000,31.0,125.0,"Nance County, NE",2020.0,,1976,1912,64,3.2
CN3112700000000,31.0,127.0,"Nemaha County, NE",2020.0,,3626,3496,130,3.6
CN3112900000000,31.0,129.0,"Nuckolls County, NE",2020.0,,2478,2410,68,2.7
CN3113100000000,31.0,131.0,"Otoe County, NE",2020.0,,8453,8150,303,3.6
CN3113300000000,31.0,133.0,"Pawnee County, NE",2020.0,,1503,1462,41,2.7
CN3113500000000,31.0,135.0,"Perkins County, NE",2020.0,,1860,1826,34,1.8
CN3113700000000,31.0,137.0,"Phelps County, NE",2020.0,,5012,4862,150,3
CN3113900000000,31.0,139.0,"Pierce County, NE",2020.0,,4178,4041,137,3.3
CN3114100000000,31.0,141.0,"Platte County, NE",2020.0,,17949,17282,667,3.7
CN3114300000000,31.0,143.0,"Polk County, NE",2020.0,,2947,2857,90,3.1
CN3114500000000,31.0,145.0,"Red Willow County, NE",2020.0,,5887,5695,192,3.3
CN3114700000000,31.0,147.0,"Richardson County, NE",2020.0,,4240,4101,139,3.3
CN3114900000000,31.0,149.0,"Rock County, NE",2020.0,,889,870,19,2.1
CN3115100000000,31.0,151.0,"Saline County, NE",2020.0,,7379,7111,268,3.6
CN3115300000000,31.0,153.0,"Sarpy County, NE",2020.0,,97950,93916,4034,4.1
CN3115500000000,31.0,155.0,"Saunders County, NE",2020.0,,11388,10969,419,3.7
CN3115700000000,31.0,157.0,"Scotts Bluff County, NE",2020.0,,18289,17521,768,4.2
CN3115900000000,31.0,159.0,"Seward County, NE",2020.0,,8852,8485,367,4.1
CN3116100000000,31.0,161.0,"Sheridan County, NE",2020.0,,2735,2669,66,2.4
CN3116300000000,31.0,163.0,"Sherman County, NE",2020.0,,1679,1625,54,3.2
CN3116500000000,31.0,165.0,"Sioux County, NE",2020.0,,767,750,17,2.2
CN3116700000000,31.0,167.0,"Stanton County, NE",2020.0,,3559,3439,120,3.4
CN3116900000000,31.0,169.0,"Thayer County, NE",2020.0,,2790,2713,77,2.8
CN3117100000000,31.0,171.0,"Thomas County, NE",2020.0,,430,413,17,4
CN3117300000000,31.0,173.0,"Thurston County, NE",2020.0,,3128,2965,163,5.2
CN3117500000000,31.0,175.0,"Valley County, NE",2020.0,,2141,2080,61,2.8
CN3117700000000,31.0,177.0,"Washington County, NE",2020.0,,11271,10856,415,3.7
CN3117900000000,31.0,179.0,"Wayne County, NE",2020.0,,5714,5552,162,2.8
CN3118100000000,31.0,181.0,"Webster County, NE",2020.0,,1663,1601,62,3.7
CN3118300000000,31.0,183.0,"Wheeler County, NE",2020.0,,569,558,11,1.9
CN3118500000000,31.0,185.0,"York County, NE",2020.0,,7329,7081,248,3.4
CN3200100000000,32.0,1.0,"Churchill County, NV",2020.0,,11079,10434,645,5.8
CN3200300000000,32.0,3.0,"Clark County, NV",2020.0,,1106244,934905,171339,15.5
CN3200500000000,32.0,5.0,"Douglas County, NV",2020.0,,22177,20175,2002,9
CN3200700000000,32.0,7.0,"Elko County, NV",2020.0,,26179,24606,1573,6
CN3200900000000,32.0,9.0,"Esmeralda County, NV",2020.0,,418,396,22,5.3
CN3201100000000,32.0,11.0,"Eureka County, NV",2020.0,,1022,985,37,3.6
CN3201300000000,32.0,13.0,"Humboldt County, NV",2020.0,,8026,7620,406,5.1
CN3201500000000,32.0,15.0,"Lander County, NV",2020.0,,3137,2981,156,5
CN3201700000000,32.0,17.0,"Lincoln County, NV",2020.0,,2031,1926,105,5.2
CN3201900000000,32.0,19.0,"Lyon County, NV",2020.0,,22713,20664,2049,9
CN3202100000000,32.0,21.0,"Mineral County, NV",2020.0,,2113,1990,123,5.8
CN3202300000000,32.0,23.0,"Nye County, NV",2020.0,,17420,15639,1781,10.2
CN3202700000000,32.0,27.0,"Pershing County, NV",2020.0,,2568,2442,126,4.9
CN3202900000000,32.0,29.0,"Storey County, NV",2020.0,,2016,1843,173,8.6
CN3203100000000,32.0,31.0,"Washoe County, NV",2020.0,,248602,228136,20466,8.2
CN3203300000000,32.0,33.0,"White Pine County, NV",2020.0,,4556,4360,196,4.3
CN3251000000000,32.0,510.0,"Carson City, NV",2020.0,,25644,23415,2229,8.7
CN3300100000000,33.0,1.0,"Belknap County, NH",2020.0,,30981,28824,2157,7
CN3300300000000,33.0,3.0,"Carroll County, NH",2020.0,,23032,21263,1769,7.7
CN3300500000000,33.0,5.0,"Cheshire County, NH",2020.0,,39670,37222,2448,6.2
CN3300700000000,33.0,7.0,"Coos County, NH",2020.0,,14255,13125,1130,7.9
CN3300900000000,33.0,9.0,"Grafton County, NH",2020.0,,47961,45149,2812,5.9
CN3301100000000,33.0,11.0,"Hillsborough County, NH",2020.0,,240323,223541,16782,7
CN3301300000000,33.0,13.0,"Merrimack County, NH",2020.0,,82544,77741,4803,5.8
CN3301500000000,33.0,15.0,"Rockingham County, NH",2020.0,,186331,173201,13130,7
CN3301700000000,33.0,17.0,"Strafford County, NH",2020.0,,73359,68752,4607,6.3
CN3301900000000,33.0,19.0,"Sullivan County, NH",2020.0,,22967,21720,1247,5.4
CN3400100000000,34.0,1.0,"Atlantic County, NJ",2020.0,,123593,102446,21147,17.1
CN3400300000000,34.0,3.0,"Bergen County, NJ",2020.0,,494407,449064,45343,9.2
CN3400500000000,34.0,5.0,"Burlington County, NJ",2020.0,,238216,219308,18908,7.9
CN3400700000000,34.0,7.0,"Camden County, NJ",2020.0,,263515,237908,25607,9.7
CN3400900000000,34.0,9.0,"Cape May County, NJ",2020.0,,45738,39457,6281,13.7
CN3401100000000,34.0,11.0,"Cumberland County, NJ",2020.0,,68333,61223,7110,10.4
CN3401300000000,34.0,13.0,"Essex County, NJ",2020.0,,387334,343775,43559,11.2
CN3401500000000,34.0,15.0,"Gloucester County, NJ",2020.0,,156240,142271,13969,8.9
CN3401700000000,34.0,17.0,"Hudson County, NJ",2020.0,,372954,335061,37893,10.2
CN3401900000000,34.0,19.0,"Hunterdon County, NJ",2020.0,,65809,61260,4549,6.9
CN3402100000000,34.0,21.0,"Mercer County, NJ",2020.0,,210967,195728,15239,7.2
CN3402300000000,34.0,23.0,"Middlesex County, NJ",2020.0,,447228,409340,37888,8.5
CN3402500000000,34.0,25.0,"Monmouth County, NJ",2020.0,,336742,307993,28749,8.5
CN3402700000000,34.0,27.0,"Morris County, NJ",2020.0,,261177,241666,19511,7.5
CN3402900000000,34.0,29.0,"Ocean County, NJ",2020.0,,289318,263012,26306,9.1
CN3403100000000,34.0,31.0,"Passaic County, NJ",2020.0,,253066,222385,30681,12.1
CN3403300000000,34.0,33.0,"Salem County, NJ",2020.0,,30607,27781,2826,9.2
CN3403500000000,34.0,35.0,"Somerset County, NJ",2020.0,,174098,161076,13022,7.5
CN3403700000000,34.0,37.0,"Sussex County, NJ",2020.0,,76179,69295,6884,9
CN3403900000000,34.0,39.0,"Union County, NJ",2020.0,,285280,258049,27231,9.5
CN3404100000000,34.0,41.0,"Warren County, NJ",2020.0,,57587,52883,4704,8.2
CN3500100000000,35.0,1.0,"Bernalillo County, NM",2020.0,,327232,302519,24713,7.6
CN3500300000000,35.0,3.0,"Catron County, NM",2020.0,,1141,1061,80,7
CN3500500000000,35.0,5.0,"Chaves County, NM",2020.0,,27499,25396,2103,7.6
CN3500600000000,35.0,6.0,"Cibola County, NM",2020.0,,8931,8151,780,8.7
CN3500700000000,35.0,7.0,"Colfax County, NM",2020.0,,5076,4735,341,6.7
CN3500900000000,35.0,9.0,"Curry County, NM",2020.0,,21832,20702,1130,5.2
CN3501100000000,35.0,11.0,"De Baca County, NM",2020.0,,692,661,31,4.5
CN3501300000000,35.0,13.0,"Dona Ana County, NM",2020.0,,96511,88977,7534,7.8
CN3501500000000,35.0,15.0,"Eddy County, NM",2020.0,,32925,30794,2131,6.5
CN3501700000000,35.0,17.0,"Grant County, NM",2020.0,,11727,10738,989,8.4
CN3501900000000,35.0,19.0,"Guadalupe County, NM",2020.0,,1487,1392,95,6.4
CN3502100000000,35.0,21.0,"Harding County, NM",2020.0,,275,264,11,4
CN3502300000000,35.0,23.0,"Hidalgo County, NM",2020.0,,1906,1801,105,5.5
CN3502500000000,35.0,25.0,"Lea County, NM",2020.0,,28930,25917,3013,10.4
CN3502700000000,35.0,27.0,"Lincoln County, NM",2020.0,,8644,7910,734,8.5
CN3502800000000,35.0,28.0,"Los Alamos County, NM",2020.0,,9759,9413,346,3.5
CN3502900000000,35.0,29.0,"Luna County, NM",2020.0,,10129,8576,1553,15.3
CN3503100000000,35.0,31.0,"McKinley County, NM",2020.0,,23494,21198,2296,9.8
CN3503300000000,35.0,33.0,"Mora County, NM",2020.0,,2023,1869,154,7.6
CN3503500000000,35.0,35.0,"Otero County, NM",2020.0,,25111,23128,1983,7.9
CN3503700000000,35.0,37.0,"Quay County, NM",2020.0,,3022,2810,212,7
CN3503900000000,35.0,39.0,"Rio Arriba County, NM",2020.0,,16413,15158,1255,7.6
CN3504100000000,35.0,41.0,"Roosevelt County, NM",2020.0,,7795,7342,453,5.8
CN3504300000000,35.0,43.0,"Sandoval County, NM",2020.0,,66278,61017,5261,7.9
CN3504500000000,35.0,45.0,"San Juan County, NM",2020.0,,49768,45109,4659,9.4
CN3504700000000,35.0,47.0,"San Miguel County, NM",2020.0,,10383,9579,804,7.7
CN3504900000000,35.0,49.0,"Santa Fe County, NM",2020.0,,70713,65291,5422,7.7
CN3505100000000,35.0,51.0,"Sierra County, NM",2020.0,,4050,3697,353,8.7
CN3505300000000,35.0,53.0,"Socorro County, NM",2020.0,,6132,5723,409,6.7
CN3505500000000,35.0,55.0,"Taos County, NM",2020.0,,14622,13034,1588,10.9
CN3505700000000,35.0,57.0,"Torrance County, NM",2020.0,,5295,4823,472,8.9
CN3505900000000,35.0,59.0,"Union County, NM",2020.0,,1622,1544,78,4.8
CN3506100000000,35.0,61.0,"Valencia County, NM",2020.0,,30081,27772,2309,7.7
CN3600100000000,36.0,1.0,"Albany County, NY",2020.0,,159599,148570,11029,6.9
CN3600300000000,36.0,3.0,"Allegany County, NY",2020.0,,19452,17943,1509,7.8
CN3600500000000,36.0,5.0,"Bronx County, NY",2020.0,,613070,514858,98212,16
CN3600700000000,36.0,7.0,"Broome County, NY",2020.0,,83619,76645,6974,8.3
CN3600900000000,36.0,9.0,"Cattaraugus County, NY",2020.0,,33738,30661,3077,9.1
CN3601100000000,36.0,11.0,"Cayuga County, NY",2020.0,,36143,33395,2748,7.6
CN3601300000000,36.0,13.0,"Chautauqua County, NY",2020.0,,54000,49387,4613,8.5
CN3601500000000,36.0,15.0,"Chemung County, NY",2020.0,,36033,32996,3037,8.4
CN3601700000000,36.0,17.0,"Chenango County, NY",2020.0,,22189,20716,1473,6.6
CN3601900000000,36.0,19.0,"Clinton County, NY",2020.0,,36208,33432,2776,7.7
CN3602100000000,36.0,21.0,"Columbia County, NY",2020.0,,30972,29126,1846,6
CN3602300000000,36.0,23.0,"Cortland County, NY",2020.0,,22854,21093,1761,7.7
CN3602500000000,36.0,25.0,"Delaware County, NY",2020.0,,19018,17692,1326,7
CN3602700000000,36.0,27.0,"Dutchess County, NY",2020.0,,145036,134383,10653,7.3
CN3602900000000,36.0,29.0,"Erie County, NY",2020.0,,446586,405707,40879,9.2
CN3603100000000,36.0,31.0,"Essex County, NY",2020.0,,16906,15574,1332,7.9
CN3603300000000,36.0,33.0,"Franklin County, NY",2020.0,,19507,17955,1552,8
CN3603500000000,36.0,35.0,"Fulton County, NY",2020.0,,22975,21075,1900,8.3
CN3603700000000,36.0,37.0,"Genesee County, NY",2020.0,,29610,27513,2097,7.1
CN3603900000000,36.0,39.0,"Greene County, NY",2020.0,,20632,18984,1648,8
CN3604100000000,36.0,41.0,"Hamilton County, NY",2020.0,,2199,2029,170,7.7
CN3604300000000,36.0,43.0,"Herkimer County, NY",2020.0,,28065,25851,2214,7.9
CN3604500000000,36.0,45.0,"Jefferson County, NY",2020.0,,44233,40513,3720,8.4
CN3604700000000,36.0,47.0,"Kings County, NY",2020.0,,1202125,1052319,149806,12.5
CN3604900000000,36.0,49.0,"Lewis County, NY",2020.0,,11644,10775,869,7.5
CN3605100000000,36.0,51.0,"Livingston County, NY",2020.0,,30352,28277,2075,6.8
CN3605300000000,36.0,53.0,"Madison County, NY",2020.0,,33052,30557,2495,7.5
CN3605500000000,36.0,55.0,"Monroe County, NY",2020.0,,366956,336893,30063,8.2
CN3605700000000,36.0,57.0,"Montgomery County, NY",2020.0,,22517,20618,1899,8.4
CN3605900000000,36.0,59.0,"Nassau County, NY",2020.0,,712663,655369,57294,8
CN3606100000000,36.0,61.0,"New York County, NY",2020.0,,896451,811056,85395,9.5
CN3606300000000,36.0,63.0,"Niagara County, NY",2020.0,,99542,89502,10040,10.1
CN3606500000000,36.0,65.0,"Oneida County, NY",2020.0,,102757,94725,8032,7.8
CN3606700000000,36.0,67.0,"Onondaga County, NY",2020.0,,224981,206935,18046,8
CN3606900000000,36.0,69.0,"Ontario County, NY",2020.0,,55882,51990,3892,7
CN3607100000000,36.0,71.0,"Orange County, NY",2020.0,,187228,172265,14963,8
CN3607300000000,36.0,73.0,"Orleans County, NY",2020.0,,17412,16007,1405,8.1
CN3607500000000,36.0,75.0,"Oswego County, NY",2020.0,,53129,48538,4591,8.6
CN3607700000000,36.0,77.0,"Otsego County, NY",2020.0,,27159,25275,1884,6.9
CN3607900000000,36.0,79.0,"Putnam County, NY",2020.0,,51374,47668,3706,7.2
CN3608100000000,36.0,81.0,"Queens County, NY",2020.0,,1142439,1000240,142199,12.4
CN3608300000000,36.0,83.0,"Rensselaer County, NY",2020.0,,82193,76661,5532,6.7
CN3608500000000,36.0,85.0,"Richmond County, NY",2020.0,,221561,198280,23281,10.5
CN3608700000000,36.0,87.0,"Rockland County, NY",2020.0,,156371,144312,12059,7.7
CN3608900000000,36.0,89.0,"St. Lawrence County, NY",2020.0,,43848,40394,3454,7.9
CN3609100000000,36.0,91.0,"Saratoga County, NY",2020.0,,121791,113947,7844,6.4
CN3609300000000,36.0,93.0,"Schenectady County, NY",2020.0,,78486,72431,6055,7.7
CN3609500000000,36.0,95.0,"Schoharie County, NY",2020.0,,14831,13817,1014,6.8
CN3609700000000,36.0,97.0,"Schuyler County, NY",2020.0,,8208,7524,684,8.3
CN3609900000000,36.0,99.0,"Seneca County, NY",2020.0,,15568,14350,1218,7.8
CN3610100000000,36.0,101.0,"Steuben County, NY",2020.0,,42794,39426,3368,7.9
CN3610300000000,36.0,103.0,"Suffolk County, NY",2020.0,,781583,718094,63489,8.1
CN3610500000000,36.0,105.0,"Sullivan County, NY",2020.0,,36583,33513,3070,8.4
CN3610700000000,36.0,107.0,"Tioga County, NY",2020.0,,22602,20901,1701,7.5
CN3610900000000,36.0,109.0,"Tompkins County, NY",2020.0,,49677,46779,2898,5.8
CN3611100000000,36.0,111.0,"Ulster County, NY",2020.0,,87714,80952,6762,7.7
CN3611300000000,36.0,113.0,"Warren County, NY",2020.0,,31475,28911,2564,8.1
CN3611500000000,36.0,115.0,"Washington County, NY",2020.0,,27668,25748,1920,6.9
CN3611700000000,36.0,117.0,"Wayne County, NY",2020.0,,43705,40589,3116,7.1
CN3611900000000,36.0,119.0,"Westchester County, NY",2020.0,,487399,448279,39120,8
CN3612100000000,36.0,121.0,"Wyoming County, NY",2020.0,,18239,16919,1320,7.2
